"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Documents generate on","list Advanced Invoice Received  generate CashPayment","0","0","1","0","0"
"","101 Change Fixed Assets Parameters","Report Fix asset card Calculator Lenovo SN456","0","0","1","0","0"
"","Main menu > click open","Accounting documents","0","0","1","0","0"
"","160 Assembly build and Specification creation","Specification creation","0","0","1","0","0"
"","Work Document Bank Payment > changes Cash flow activities","Bank Payment > changes Cash flow activities 403","0","0","1","0","0"
"","Y_002 Department functional option check","Intangible Assets Write Off True","0","0","1","0","0"
"","220 Sales invoice and Sales return","Data preparation","0","0","1","0","0"
"","Accounting reports detailing check","Account turnover report","0","0","1","0","0"
"","Purchase Invoices generate documents","PurchaseOrder generate PurchaseInvoice","1","0","0","0","0"
"","001 Smoke Tests Catalogs","List form opening ""LegalDocuments""","0","0","1","0","0"
"","Documents generate on","AdvancedInvoiceIssued  generate BankReceipt","0","0","1","0","0"
"","Work Document Bank Payment > changes Cash flow activities","Bank Payment > changes Cash flow activities","0","0","1","0","0"
"","040 Bank receipt document create","Bank receipt unposting mark/unmark for deletion","0","0","1","0","0"
"","075 Expense report  Currency","Filling in the ""Currencies"" catalog","1","0","0","0","0"
"","Y_002 Department functional option check","Inventory Transfer","0","0","1","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""Employees""","0","0","1","0","0"
"","002 Smoke tests documents","List form opening ""FixedAssetsReconciliation""","0","0","1","0","0"
"","Cash Receipt > changes Cash flow activities","CR > Incasari de la clienti din livrari","0","0","1","0","0"
"","075 Expense report  Currency","Expense report","1","0","0","0","0"
"","015 Accounting items creating","Create a provided service","1","0","0","0","0"
"","Docs create SAve OPen Close","Opening Balance","0","0","1","0","0"
"","020 Opening balance create","Check Contract filter Opening balance","0","0","1","0","0"
"","Main menu > click open","Notice of entries","0","0","1","0","0"
"","015 Accounting items creating","UoM classifier import","0","0","1","0","0"
"","Work Document Bank Payment > changes Cash flow activities","Bank Payment > changes Cash flow activities 401.1","0","0","1","0","0"
"","Documents generate on","list PI generate SalesInvoice","0","0","1","0","0"
"","BD available not available columns","BR Incasari Numerar de la Magazine / Puncte de comerț Amanunt  (Cantitativ)","0","0","1","0","0"
"","E-Transport filling check","Operation kinds list check","0","0","1","0","0"
"","Goods Transfer To Retail check DR/CR","GoodsTransferToRetail","0","0","1","0","0"
"","Main menu > click open","Customs declarations","0","0","1","0","0"
"","Y_002 Department functional option check","Opening Balance False","0","0","1","0","0"
"","Documents generate on","list P i generate InventoryReconciliationFact","1","0","0","0","0"
"","Set Advanced Expenses Write off Parameters","Check Advanced expenses write off first month","0","0","1","0","0"
"","Check currency conversion for EU resident","Bank Receipt in  EUR","1","0","0","0","0"
"","Purchase Invoices generate documents","Purchase Invoices generate Payment request outgoing","0","0","1","0","0"
"","002 Smoke tests documents","Object form opening ""CustomsDeclaration""","0","0","1","0","0"
"","BD available not available columns","BP Plati pentru avans de trezorerie","0","0","1","0","0"
"","003_FirstLaunchCatalogsFilling","Product GL accounts check","0","0","1","0","0"
"","Main menu > click open","Cash documents","0","0","1","0","0"
"","120 Additional expenses","Data preparation Purchase Invoice","0","0","1","0","0"
"","075 Expense report  Currency","Preparation add cash flow activities 428","0","0","1","0","0"
"","Documents generate on","list Sales retorn  generate BankPayment","1","0","0","0","0"
"","Documents generate on","Advanced Invoice Received  generate PurchaseInvoice","0","0","1","0","0"
"","Goods Transfer To Retail check DR/CR","Purchase Invoice for Goods Transfer To Retail","0","0","1","0","0"
"","100 Fixed and intangible assets","Additional expenses for Fixed assets","0","0","1","0","0"
"","Work Document Bank Payment > changes Cash flow activities","Bank Payment > changes Cash flow activities 627","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""SetsOfAccessGroups""","0","0","1","0","0"
"","Y_002 Department functional option check","Bank Receipt True","0","0","1","0","0"
"","003_1 Classifiers import","UoM classifier import","1","0","0","0","0"
"","002 Smoke tests documents","List form opening ""PurchaseInvoice""","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""QuestionnaireTemplateQuestions""","0","0","1","0","0"
"","011 Filling in the Currencies catalog","Filling in the ""Currencies"" catalog","0","0","1","0","0"
"","160 Assembly build and Specification creation","Data preparation Good quantitative assembled","0","0","1","0","0"
"","Y_002 Department functional option check","Inventory Write Off True","0","0","1","0","0"
"","003_FirstLaunchCatalogsFilling","Accounting policy filling","0","0","1","0","0"
"","Settlements Adjustment check list Document","Notice of entry","0","0","1","0","0"
"","Cash change CashFlowActivity avai. not availab. columns","CR Incasari viramente interne","0","0","1","0","0"
"","Documents generate on","P i generate InventoryWriteOff","1","0","0","0","0"
"","100 Fixed and intangible assets","Bank advance payment to the supplier","0","0","1","0","0"
"","Documents generate on","list/Document PO generate Bank Payment","0","0","1","0","0"
"","Documents generate on","P i generate InventoryReconciliationFact","1","0","0","0","0"
"","BankReceipt change cash flow activity","BR> Incasari de la clienti din livrari","0","0","1","0","0"
"","E-Transport filling check","Fill Depozit address","0","0","1","0","0"
"","Main menu > click open","Enterprises","0","0","1","0","0"
"","Accounting reports detailing check","Account datails book","0","0","1","0","0"
"","002 Smoke tests documents","List form opening ""ChangeFixedAssetsParameters""","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""AccountingSettingsKinds""","0","0","1","0","0"
"","Y_002 Department functional option check","Report AnalysisByDimension True","0","0","1","0","0"
"","Check must be filled:Description/SKU/Code of customs/Unit/Income and expense","Products Tangible assets","0","0","1","0","0"
"","Check currency conversion for EU resident","Exit Notice EUR","1","0","0","0","0"
"","Documents generate on","Purchase Order  generate document","0","0","1","0","0"
"","BD available not available columns","BR Incasari din difrente de curs pozitive","0","0","1","0","0"
"","Accounting reports detailing check","Trial Balance by account","0","0","1","0","0"
"","Set Advanced income Write off Parameters","Check Advanced income write off first month","0","0","1","0","0"
"","Document mark/unmark for deletion","Notice Of Entry","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""EmailAccounts""","0","0","1","0","0"
"","Y_002 Department functional option check","Sales Order True","0","0","1","0","0"
"","Purchase invoice for different goods kind","PI for materials","0","0","1","0","0"
"","002 Smoke tests documents","List form opening ""IntangibleAssetsWriteOff""","0","0","1","0","0"
"","Docs create SAve OPen Close","Cash Receipt","0","0","1","0","0"
"","Y_002 Department functional option check","Inventory Increase False","0","0","1","0","0"
"","Cash / Bank Documents added Base Document","Sales Invoice","0","0","1","0","0"
"","Check work Customs Declaration","Create Cash flow 448.21","0","0","1","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""Individuals""","0","0","1","0","0"
"","Work Document Bank Payment > changes Cash flow activities","AdvancedInvoiceReceived","0","0","1","0","0"
"","002 Smoke tests documents","Object form opening ""Assembly""","0","0","1","0","0"
"","VAT rates selection check","EU member NoticeOfEntry","0","0","1","0","0"
"","Purchase Invoices generate documents","Purchase Invoices generate CIAP","0","0","1","0","0"
"","Y_002 Department functional option check","Payment Request Outgoing True","0","0","1","0","0"
"","Main menu > click open","Trial Balance by account","0","0","1","0","0"
"","015 Accounting items creating","Create a material","0","0","1","0","0"
"","Purchase Invoices generate documents","Purchase Invoices generate Cash Payment","0","0","1","0","0"
"","070 Expense report","Notice of entry","0","0","1","0","0"
"","Documents generate on","InventoryInCommissioningTransfer button generate document","0","0","1","0","0"
"","BD available not available columns","BP Plati la furnizori de stocuri","0","0","1","0","0"
"","Docs create SAve OPen Close","Advance Report","0","0","1","0","0"
"","Documents Bank> Button Add","Purchase Invoice","0","0","1","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""BankAccountsOfEnterprises""","0","0","1","0","0"
"","Documents generate on","list SI generate SalesReturn","0","0","1","0","0"
"","Y_002 Department functional option check","Report AccountAnalyze True","0","0","1","0","0"
"","Counterparties catalog","Transactions table","1","0","0","0","0"
"","040 Bank receipt document create","Bank receipt Incasare de la Client in EUR","1","0","0","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""QuestionnaireTemplates""","0","0","1","0","0"
"","Docs create SAve OPen Close","Bank Receipt","0","0","1","0","0"
"","Main menu > click open","Purchase Invoices","0","0","1","0","0"
"","Documents generate on","AdditionalExpenses generate CashPayment","1","0","0","0","0"
"","Main menu > click open","Advanced invoices issued","0","0","1","0","0"
"","Documents generate on","SalesOrder button generate AdvancedInvoiceIssued","1","0","0","0","0"
"","Check work Customs Declaration","Catalog Currencies","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""UserGroups""","0","0","1","0","0"
"","Document mark/unmark for deletion","Sales Return","0","0","1","0","0"
"","Documents generate on","list SalesOrder button generate Exit note","1","0","0","0","0"
"","Check currency conversion for EU resident","Advanced invoice received EUR","0","0","1","0","0"
"","BD available not available columns","BR Incasari viramente interne","0","0","1","0","0"
"VAT on release","090 Purchase invoice and Purchase return","Purchase return create","1","0","0","0","0"
"","Purchase Invoices generate documents","PurchaseOrder generate Cash payment","0","0","1","0","0"
"","Work Document Bank Payment > changes Cash flow activities","Bank Payment > changes Cash flow activities 409.3","0","0","1","0","0"
"","Catalogs data export","Catalogs data export","0","0","1","0","0"
"","AII_BR_AII(Return)","AII generate AII  Retorn","0","0","1","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""Banks""","0","0","1","0","0"
"","002 Smoke tests documents","List form opening ""SalesInvoice""","0","0","1","0","0"
"","Docs create SAve OPen Close","Inventory Write Off","0","0","1","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""AccessGroupProfiles""","0","0","1","0","0"
"","Sales order and Sales invoice creating","Related documents check","1","0","0","0","0"
"","Settlements Adjustment >DR/CR","SettlementsAdjustment","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""ExtensionsVersions""","0","0","1","0","0"
"","Main menu > click open","Declaration 300","0","0","1","0","0"
"","020 Opening balance create","Preparation","0","0","1","0","0"
"","E-factura","E-invoice work place Status filter check","1","0","0","0","0"
"","Bank Receipt>change Currency>appear error","Bank Payment check Bank accounts","0","0","1","0","0"
"","Cash change CashFlowActivity avai. not availab. columns","CP Plata Dividende  proprietarilor","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""VATRates""","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""OrganizationalLegalForms""","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""Workplaces""","0","0","1","0","0"
"","Documents Bank> Button Add","deletion all ""CashPayment""","0","0","1","0","0"
"","Document mark/unmark for deletion","Intangible Assets Write Off","0","0","1","0","0"
"","Documents generate on","list Advanced Invoice Received generate AdvancedInvoiceReceived Return","0","0","1","0","0"
"","Document mark/unmark for deletion","Change Intangible Assets Parameters","0","0","1","0","0"
"","ReportIncoming VAT display Document","AdvancedInvoiceReceived","0","0","1","0","0"
"","Cash Receipt > changes Cash flow activities","AdvancedInvoiceIssued","0","0","1","0","0"
"","Check currency conversion for EU resident","Notice of entry Yen","1","0","0","0","0"
"","VAT rates selection check","Foreign customer","1","0","0","0","0"
"","Y_002 Department functional option check","Cash Payment True","0","0","1","0","0"
"","Document mark/unmark for deletion","Fixed Assets Reconciliation","0","0","1","0","0"
"","Documents generate on","PO generate Advanced Invoice Received","1","0","0","0","0"
"","Work Document Bank Payment > changes Cash flow activities","Data preparation","0","0","1","0","0"
"","Docs create SAve OPen Close","Advanced Invoice Issued","0","0","1","0","0"
"","Y_002 Department functional option check","Opening Balance True","0","0","1","0","0"
"","Main menu > click open","Payment requests","0","0","1","0","0"
"","003_FirstLaunchCatalogsFilling","Currencies RON","0","0","1","0","0"
"","Documents generate on","PI generate Payment Request Outgoing","1","0","0","0","0"
"","Payment request ingoing","Accounts check","1","0","0","0","0"
"","Inventory Items commissioning","Inventory item commissioning by Purchase invoice","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""QuestionnaireTemplates""","0","0","1","0","0"
"","Check currency conversion for EU resident","BankAccountsOfEnterprises","0","0","1","0","0"
"","Documents generate on","AdvancedInvoiceIssued  generate CashReceipt","0","0","1","0","0"
"","Documents generate on","AdditionalExpenses  generate BankPayment","1","0","0","0","0"
"","Print forms check","Exit notice - Notă descărcare gestiune","1","0","0","0","0"
"","Discounts in Purchase Invoice","Purchase Invoice Comercian","1","0","0","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""UserReportSettings""","0","0","1","0","0"
"","040 Bank receipt document create","Create catalog BankAccountsOfEnterprises objects","0","0","1","0","0"
"","MainMenu","Imobilizări","0","0","1","0","0"
"","Y_002 Department functional option check","Bank Payment False","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""UnitSets""","0","0","1","0","0"
"","130 Advanced invoice issued","Data preparation","0","0","1","0","0"
"","Accounting reports detailing check","Trial Balance by account 401 filter","1","0","0","0","0"
"","002 Smoke tests documents","Object form opening ""PurchaseInvoice""","0","0","1","0","0"
"","Set Advanced income Write off Parameters","Check Advanced expenses write off last month","0","0","1","0","0"
"","120 Additional expenses","Create Additional expenses Vendor VAT non payer By quantity","1","0","0","0","0"
"","Main menu > click open","Changes of  intangible assets parameters","0","0","1","0","0"
"","Enterprise preparation","Enterprise VAT on encashment Data preparation","1","0","0","0","0"
"","Documents generate on","Advanced Invoice Received Retorn generate BankReceipt","0","0","1","0","0"
"","Cash Receipt > changes Cash flow activities","CR > Incasari de la fondatori din operatiuni de capital","0","0","1","0","0"
"","Check currency conversion for EU resident","Purchase Return Yen","1","0","0","0","0"
"","VAT calculation check","Exit notice","0","0","1","0","0"
"","Documents generate on","UndoPosting Purchase return","0","0","1","0","0"
"","Documents generate on","list AdvancedInvoiceIssued  generate SalesInvoice","0","0","1","0","0"
"","Cash change CashFlowActivity avai. not availab. columns","CP Plati la salariati","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""DigitalSignatureAndEncryptionKeysCertificates""","0","0","1","0","0"
"","Settlements Adjustment >DR/CR","Bank Payment","0","0","1","0","0"
"","Purchase Invoices generate documents","PurchaseOrder generate AdvancedInvoiceReceivedCreateBasedOn","0","0","1","0","0"
"","Y_002 Department functional option check","Set Departments functional option OFF end","0","0","1","0","0"
"","Purchase order generation on","Purchase invoice generation","1","0","0","0","0"
"","Y_002 Department functional option check","Fixed Assets Reconciliation True","0","0","1","0","0"
"","002 Smoke tests documents","List form opening ""BankReceipt""","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""Notes""","0","0","1","0","0"
"","Settlements Adjustment check list Document","Purchase Invoice","0","0","1","0","0"
"","Docs create SAve OPen Close","Sales Invoice","0","0","1","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""AddIns""","0","0","1","0","0"
"","E-Transport filling check","Consignment note creation 60-Tranzacţie intracomunitară - Intrare pentru depozitare/formare nou transport","0","0","1","0","0"
"","Settlements Adjustment >DR/CR","Journal Accounting Documents","1","0","0","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""SetsOfAccessGroups""","0","0","1","0","0"
"","240 Locations catalog set default","Create a new location","0","0","1","0","0"
"","Sales Invoice generate documents","Sales Invoice generate Payment request ingoing","0","0","1","0","0"
"","Y_002 Department functional option check","Assembly True","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""ObjectsPropertiesValues""","0","0","1","0","0"
"","Work Document Bank Payment > changes Cash flow activities","Bank Payment > changes Cash flow activities 421","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""StringContactInteractions""","0","0","1","0","0"
"","E-Transport filling check","Consignment note creation 40-Import","0","0","1","0","0"
"","220 Sales invoice and Sales return","Create B2C serie","0","0","1","0","0"
"","discounts in sales invoice","Purchase Invoice","0","0","1","0","0"
"","002 Smoke tests documents","Object form opening ""SetAdvancedExpensesWriteoffParameters""","0","0","1","0","0"
"","002 Smoke tests documents","Object form opening ""FixedAssetsWriteOff""","0","0","1","0","0"
"","Purchase Invoices generate documents","Purchase Invoices generate Inventory transfer","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""InteractionsTabs""","0","0","1","0","0"
"","002 Smoke tests documents","List form opening ""ExitNotice""","0","0","1","0","0"
"","Check currency conversion for EU resident","Purchase Order EUR","0","0","1","0","0"
"","Bank Receipt>change Currency>appear error","Data preparation","0","0","1","0","0"
"","Documents Bank> Button Add","Data preparation SalesInvoice","1","0","0","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""ExternalUsers""","0","0","1","0","0"
"","101 Change Fixed Assets Parameters","Change Fixed Assets Parameters SET mobila birou B3210","1","0","0","0","0"
"","Y_002 Department functional option check","Intangible Assets Write Off False","0","0","1","0","0"
"","Docs create SAve OPen Close","Notice Of Entry","0","0","1","0","0"
"","AII_BR_AII(Return)","AdvancedInvoiceIssued 4 case","0","0","1","0","0"
"","075 Expense report  Currency","improvement Expense report","1","0","0","0","0"
"","Docs create SAve OPen Close","Exit notice","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""Companies""","0","0","1","0","0"
"","Check work Customs Declaration","Data preparation Products","0","0","1","0","0"
"","Work Document Bank Payment > changes Cash flow activities","Catalog.Companies","0","0","1","0","0"
"","070 Expense report","Expense report 3","0","0","1","0","0"
"","075 Expense report  Currency","Expense report 2","1","0","0","0","0"
"","015 Accounting items creating","Create a intangible asset","0","0","1","0","0"
"","E-Transport filling check","Consignment note creation 14-Stocuri la dispoziția clientului (Call-off stock) - intrare","0","0","1","0","0"
"","002 Smoke tests documents","Creating and posting ""AdditionalExpenses""","0","0","1","0","0"
"","discounts in sales invoice","Sales Invoice  linked","1","0","0","0","0"
"","001 Smoke Tests Catalogs","List form opening ""ContactInformationKinds""","0","0","1","0","0"
"","Check must be filled:Description/SKU/Code of customs/Unit/Income and expense","Products Discount received","0","0","1","0","0"
"","Check work Customs Declaration","Trial Balance by account","0","0","1","0","0"
"","Source document","Source document Sale to customer","0","0","1","0","0"
"","Documents generate on","list PI generate Inventory Transfer","0","0","1","0","0"
"","Settlements Adjustment >DR/CR","SettlementsAdjustmentW","0","0","1","0","0"
"","VAT calculation check","Sales order","0","0","1","0","0"
"","Settlements Adjustment check list Document","Sales Invoice","1","0","0","0","0"
"","Sales order and Sales invoice creating","Sales order creating","0","0","1","0","0"
"","Y_002 Department functional option check","Purchase Invoice","0","0","1","0","0"
"","Income taxation rates","Income taxation rates add","0","0","1","0","0"
"","002 Smoke tests documents","Object form opening ""InventoryInCommissioningTransfer""","0","0","1","0","0"
"","002 Smoke tests documents","Object form opening ""AdvanceReport""","0","0","1","0","0"
"","PI gener on AIR/SI gener on AII","Sales Invoice Ship from","0","0","1","0","0"
"","220 Sales invoice and Sales return","Sales return","1","0","0","0","0"
"","Y_002 Department functional option check","Payment Request Ingoing True","0","0","1","0","0"
"","Sales AII_BR_SI_AIIR_SR_BP check DR/CR","Advanced Invoice Issued 7-2","0","0","1","0","0"
"","Settlements Adjustment >DR/CR","avansa Settlements Adjustment DR/ 401.2 KR/ 409.33","1","0","0","0","0"
"","000_SetUseVanessaEXTadd-in","Praperation variables","0","0","1","0","0"
"","Settlements Adjustment >DR/CR","Settlements Adjustment DR/ 411.1 KR/ avans 419.1","1","0","0","0","0"
"","001 Smoke Tests Catalogs","List form opening ""FileSynchronizationAccounts""","0","0","1","0","0"
"","Documents generate on","list PR generate CashReceipt","0","0","1","0","0"
"","Sales Invoice generate documents","SalesOrder generate Purchase Order","1","0","0","0","0"
"","002 Smoke tests documents","Creating and posting ""BankPayment""","0","0","1","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""MagneticCardsTemplates""","0","0","1","0","0"
"","002 Smoke tests documents","Object form opening ""SalesOrder""","0","0","1","0","0"
"","140 Advanced invoice received","Advanced invoice received EUR","0","0","1","0","0"
"","BankReceipt change cash flow activity","AdvancedInvoiceIssued","0","0","1","0","0"
"","Documents generate on","InventoryInCommissioningTransfer generate","0","0","1","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""UoMClassifier""","1","0","0","0","0"
"","070 Expense report","Preparation add cash flow activities 625","0","0","1","0","0"
"","Cash Receipt > changes Cash flow activities","CR > Incasari din difrente de curs pozitive","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""ExternalUsersGroups""","0","0","1","0","0"
"","004_QuickSettings","Check company info","1","0","0","0","0"
"","Work Document Bank Payment > changes Cash flow activities","Settings Automatically","0","0","1","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""StringContactInteractions""","0","0","1","0","0"
"","003_1 Classifiers import","Errors message check VAT Rates classifier import","1","0","0","0","0"
"","Cash / Bank Documents added Base Document","Bank Receipt > select Sales Invoice","0","0","1","0","0"
"","Inventory Items commissioning","Inventory item commissioning by adding a row","1","0","0","0","0"
"","Documents generate on","SalesOrder button generate PurchaseOrder","1","0","0","0","0"
"","Document mark/unmark for deletion","Bank Payment","1","0","0","0","0"
"","Discounts in Purchase Invoice","Purchase Invoice Comercian not item","1","0","0","0","0"
"","Main menu > click open","Additional Expenses","0","0","1","0","0"
"","E-factura","Company settings","0","0","1","0","0"
"","Cash / Bank Documents added Base Document","Cash Receipt > select","0","0","1","0","0"
"","Y_002 Department functional option check","Report AccountCard True","0","0","1","0","0"
"","Payment request ingoing","Preparation Sales invoice","0","0","1","0","0"
"","Y_002 Department functional option check","Report TrialBalance True","0","0","1","0","0"
"","Main menu > click open","Exit notices","0","0","1","0","0"
"","Y_002 Department functional option check","Additional Expenses","0","0","1","0","0"
"","Individuals","Identity document creation","0","0","1","0","0"
"","002 Smoke tests documents","List form opening ""PaymentRequestIngoing""","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""SourceDocumentsOriginalsStates""","0","0","1","0","0"
"","004_QuickSettings","Set addresses","1","0","0","0","0"
"","Accounting reports detailing check","General journal","0","0","1","0","0"
"","Documents generate on","AdditionalExpenses button generate document","0","0","1","0","0"
"","220 Sales invoice and Sales return","Sales invoice for products without Sales order","0","0","1","0","0"
"","VAT rates selection check","Customer VAT non payer NoticeOfEntry","0","0","1","0","0"
"","Sales invoice additional information filling","Sales invoice additional information filling","0","0","1","0","0"
"","002 Smoke tests documents","Object form opening ""PaymentRequestOutgoing""","0","0","1","0","0"
"","Main menu > click open","Warehouse documents","0","0","1","0","0"
"","002 Smoke tests documents","Object form opening ""ExitNotice""","0","0","1","0","0"
"","Goods Increase In Retail button select/Add","Goods Increase In Retail","1","0","0","0","0"
"","Work Document Cash Payment > changes Cash flow activities","CP > Plati pentru avans de trezorerie","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""Taxes""","0","0","1","0","0"
"","Intangible assets","Calculate amortization of intangible assets","0","0","1","0","0"
"","Document mark/unmark for deletion","Inventory Reconciliation Fact","0","0","1","0","0"
"","VAT rates selection check","Foreign customer NoticeOfEntry","1","0","0","0","0"
"","Notice of entry","Preparation","0","0","1","0","0"
"","Cash / Bank Documents added Base Document","Vat payer status","0","0","1","0","0"
"","Main menu > click open","Bank book","0","0","1","0","0"
"","Y_002 Department functional option check","Sales Invoice True","0","0","1","0","0"
"","Check currency conversion for EU resident","Sales Invoice YEN","1","0","0","0","0"
"","E-transport sending files","Consignment note posting 20-Livrare intracomunitară for sending","1","0","0","0","0"
"","Settlements Adjustment >DR/CR","Purchase Invoice and sales Invoice","1","0","0","0","0"
"","Work Document Cash Payment > changes Cash flow activities","CP > Plati la stat (Impozitul pe profit)","0","0","1","0","0"
"","Weighted average method","Set Accounting policy","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""PredefinedExtensionsReportsOptions""","0","0","1","0","0"
"","Main menu > click open","Analysis by dimension","0","0","1","0","0"
"","Sales invoice created on Exit notice","Generate Sales invoice on Exit notice","1","0","0","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""FixedAssetsClassifier""","0","0","1","0","0"
"","Documents generate on","Advanced Invoice Received Retorn generate CashPayment","0","0","1","0","0"
"","Main menu > click open","Purchase orders","0","0","1","0","0"
"","Sales AII_BR_SI_AIIR_SR_BP check DR/CR","Purchase Invoice","0","0","1","0","0"
"","012 Counterparties creation","Create a Customer","0","0","1","0","0"
"","Retail operations","Create Set Trade Allowances baton Fill from base document","1","0","0","0","0"
"","Cash Receipt > changes Cash flow activities","CR > Incasari rambursari sume neutilizate de la avans de trezorerie","0","0","1","0","0"
"","Check work Customs Declaration","Data preparation","0","0","1","0","0"
"","Docs create SAve OPen Close","Assembly","0","0","1","0","0"
"","Documents generate on","Purchase Invoice for button generate document","0","0","1","0","0"
"","Documents generate on","AdvancedInvoiceIssued Return UndoPosting","0","0","1","0","0"
"","first start user creation","Catalog Users","0","0","1","0","0"
"","VAT rates selection check","Customer VAT non payer","0","0","1","0","0"
"","Main menu > click open","Account analyze","0","0","1","0","0"
"","002 Smoke tests documents","List form opening ""PurchaseReturn""","0","0","1","0","0"
