"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 02:28:50 UTC 2024","Wed Jul 17 02:28:53 UTC 2024","3597","","101 Change Fixed Assets Parameters","","","","(VATOnRelease) Report Fix asset card Calculator Lenovo SN456",""
"passed","Wed Jul 17 02:40:06 UTC 2024","Wed Jul 17 02:40:08 UTC 2024","1290","","Main menu > click open","","","","(VATOnRelease) Accounting documents",""
"passed","Wed Jul 17 02:32:18 UTC 2024","Wed Jul 17 02:32:22 UTC 2024","4190","","160 Assembly build and Specification creation","","","","(VATOnRelease) Specification creation",""
"passed","Wed Jul 17 03:56:27 UTC 2024","Wed Jul 17 03:56:29 UTC 2024","2103","","Work Document Bank Payment > changes Cash flow activities","","","","(VATOnRelease) Bank Payment > changes Cash flow activities 403",""
"passed","Wed Jul 17 04:14:40 UTC 2024","Wed Jul 17 04:14:41 UTC 2024","1411","","Y_002 Department functional option check","","","","(VATOnRelease) Intangible Assets Write Off True",""
"passed","Wed Jul 17 02:33:59 UTC 2024","Wed Jul 17 02:34:00 UTC 2024","1064","","220 Sales invoice and Sales return","","","","(VATOnRelease) Data preparation",""
"passed","Wed Jul 17 03:20:27 UTC 2024","Wed Jul 17 03:20:31 UTC 2024","3489","","Accounting reports detailing check","","","","(VATOnRelease) Account turnover report",""
"failed","Wed Jul 17 03:14:30 UTC 2024","Wed Jul 17 03:14:43 UTC 2024","12518","","Purchase Invoices generate documents","","","","(VATOnRelease) PurchaseOrder generate PurchaseInvoice",""
"passed","Wed Jul 17 02:10:43 UTC 2024","Wed Jul 17 02:10:44 UTC 2024","989","","001 Smoke Tests Catalogs","","","","(VATOnRelease) List form opening ""LegalDocuments""",""
"passed","Wed Jul 17 03:12:29 UTC 2024","Wed Jul 17 03:12:31 UTC 2024","2760","","Documents generate on","","","","(VATOnRelease) AdvancedInvoiceIssued  generate BankReceipt",""
"passed","Wed Jul 17 03:56:05 UTC 2024","Wed Jul 17 03:56:11 UTC 2024","5711","","Work Document Bank Payment > changes Cash flow activities","","","","(VATOnRelease) Bank Payment > changes Cash flow activities",""
"passed","Wed Jul 17 02:21:34 UTC 2024","Wed Jul 17 02:21:42 UTC 2024","8057","","040 Bank receipt document create","","","","(VATOnRelease) Bank receipt unposting mark/unmark for deletion",""
"failed","Wed Jul 17 02:23:34 UTC 2024","Wed Jul 17 02:24:00 UTC 2024","26396","","075 Expense report  Currency","","","","(VATOnRelease) Filling in the ""Currencies"" catalog",""
"passed","Wed Jul 17 04:12:33 UTC 2024","Wed Jul 17 04:12:36 UTC 2024","3060","","Y_002 Department functional option check","","","","(VATOnRelease) Inventory Transfer",""
"passed","Wed Jul 17 02:10:28 UTC 2024","Wed Jul 17 02:10:29 UTC 2024","1126","","001 Smoke Tests Catalogs","","","","(VATOnRelease) Object form opening ""Employees""",""
"passed","Wed Jul 17 02:14:19 UTC 2024","Wed Jul 17 02:14:20 UTC 2024","1126","","002 Smoke tests documents","","","","(VATOnRelease) List form opening ""FixedAssetsReconciliation""",""
"passed","Wed Jul 17 04:00:21 UTC 2024","Wed Jul 17 04:00:25 UTC 2024","4097","","Cash Receipt > changes Cash flow activities","","","","(VATOnRelease) CR > Incasari de la clienti din livrari",""
"failed","Wed Jul 17 02:24:30 UTC 2024","Wed Jul 17 02:24:46 UTC 2024","16301","","075 Expense report  Currency","","","","(VATOnRelease) Expense report",""
"failed","Wed Jul 17 02:18:20 UTC 2024","Wed Jul 17 02:18:28 UTC 2024","8183","","015 Accounting items creating","","","","(VATOnRelease) Create a provided service",""
"passed","Wed Jul 17 02:44:57 UTC 2024","Wed Jul 17 02:44:59 UTC 2024","1815","","Docs create SAve OPen Close","","","","(VATOnRelease) Opening Balance",""
"passed","Wed Jul 17 02:19:55 UTC 2024","Wed Jul 17 02:19:58 UTC 2024","2607","","020 Opening balance create","","","","(VATOnRelease) Check Contract filter Opening balance",""
"passed","Wed Jul 17 02:39:19 UTC 2024","Wed Jul 17 02:39:20 UTC 2024","1001","","Main menu > click open","","","","(VATOnRelease) Notice of entries",""
"passed","Wed Jul 17 02:18:04 UTC 2024","Wed Jul 17 02:18:05 UTC 2024","614","","015 Accounting items creating","","","","(VATOnRelease) UoM classifier import",""
"passed","Wed Jul 17 03:56:19 UTC 2024","Wed Jul 17 03:56:21 UTC 2024","1911","","Work Document Bank Payment > changes Cash flow activities","","","","(VATOnRelease) Bank Payment > changes Cash flow activities 401.1",""
"passed","Wed Jul 17 03:05:50 UTC 2024","Wed Jul 17 03:05:56 UTC 2024","5616","","Documents generate on","","","","(VATOnRelease) list PI generate SalesInvoice",""
"passed","Wed Jul 17 03:52:12 UTC 2024","Wed Jul 17 03:53:03 UTC 2024","50678","","BD available not available columns","","","","(VATOnRelease) BR Incasari Numerar de la Magazine / Puncte de comerț Amanunt  (Cantitativ)",""
"passed","Wed Jul 17 03:32:19 UTC 2024","Wed Jul 17 03:32:20 UTC 2024","1552","","E-Transport filling check","","","","(VATOnRelease) Operation kinds list check",""
"passed","Wed Jul 17 04:15:50 UTC 2024","Wed Jul 17 04:15:53 UTC 2024","3420","","Goods Transfer To Retail check DR/CR","","","","(VATOnRelease) GoodsTransferToRetail",""
"passed","Wed Jul 17 02:39:18 UTC 2024","Wed Jul 17 02:39:19 UTC 2024","1001","","Main menu > click open","","","","(VATOnRelease) Customs declarations",""
"passed","Wed Jul 17 04:13:27 UTC 2024","Wed Jul 17 04:13:30 UTC 2024","3045","","Y_002 Department functional option check","","","","(VATOnRelease) Opening Balance False",""
"failed","Wed Jul 17 03:13:37 UTC 2024","Wed Jul 17 03:13:45 UTC 2024","7879","","Documents generate on","","","","(VATOnRelease) list P i generate InventoryReconciliationFact",""
"passed","Wed Jul 17 03:22:06 UTC 2024","Wed Jul 17 03:22:13 UTC 2024","7236","","Set Advanced Expenses Write off Parameters","","","","(VATOnRelease) Check Advanced expenses write off first month",""
"failed","Wed Jul 17 02:57:06 UTC 2024","Wed Jul 17 02:57:11 UTC 2024","5850","","Check currency conversion for EU resident","","","","(VATOnRelease) Bank Receipt in  EUR",""
"passed","Wed Jul 17 03:15:03 UTC 2024","Wed Jul 17 03:15:04 UTC 2024","860","","Purchase Invoices generate documents","","","","(VATOnRelease) Purchase Invoices generate Payment request outgoing",""
"passed","Wed Jul 17 02:14:50 UTC 2024","Wed Jul 17 02:14:52 UTC 2024","1290","","002 Smoke tests documents","","","","(VATOnRelease) Object form opening ""CustomsDeclaration""",""
"passed","Wed Jul 17 03:42:54 UTC 2024","Wed Jul 17 03:43:44 UTC 2024","50537","","BD available not available columns","","","","(VATOnRelease) BP Plati pentru avans de trezorerie",""
"passed","Wed Jul 17 02:17:10 UTC 2024","Wed Jul 17 02:17:11 UTC 2024","1224","","003_FirstLaunchCatalogsFilling","","","","(VATOnRelease) Product GL accounts check",""
"passed","Wed Jul 17 02:39:07 UTC 2024","Wed Jul 17 02:39:08 UTC 2024","1064","","Main menu > click open","","","","(VATOnRelease) Cash documents",""
"passed","Wed Jul 17 02:31:16 UTC 2024","Wed Jul 17 02:31:17 UTC 2024","973","","120 Additional expenses","","","","(VATOnRelease) Data preparation Purchase Invoice",""
"passed","Wed Jul 17 02:24:07 UTC 2024","Wed Jul 17 02:24:08 UTC 2024","926","","075 Expense report  Currency","","","","(VATOnRelease) Preparation add cash flow activities 428",""
"failed","Wed Jul 17 03:11:31 UTC 2024","Wed Jul 17 03:11:39 UTC 2024","7854","","Documents generate on","","","","(VATOnRelease) list Sales retorn  generate BankPayment",""
"passed","Wed Jul 17 03:08:26 UTC 2024","Wed Jul 17 03:08:28 UTC 2024","2275","","Documents generate on","","","","(VATOnRelease) Advanced Invoice Received  generate PurchaseInvoice",""
"passed","Wed Jul 17 04:15:46 UTC 2024","Wed Jul 17 04:15:50 UTC 2024","4154","","Goods Transfer To Retail check DR/CR","","","","(VATOnRelease) Purchase Invoice for Goods Transfer To Retail",""
"passed","Wed Jul 17 02:28:10 UTC 2024","Wed Jul 17 02:28:15 UTC 2024","5710","","100 Fixed and intangible assets","","","","(VATOnRelease) Additional expenses for Fixed assets",""
"passed","Wed Jul 17 03:56:36 UTC 2024","Wed Jul 17 03:56:38 UTC 2024","2478","","Work Document Bank Payment > changes Cash flow activities","","","","(VATOnRelease) Bank Payment > changes Cash flow activities 627",""
"passed","Wed Jul 17 02:08:55 UTC 2024","Wed Jul 17 02:08:56 UTC 2024","1098","","001 Smoke Tests Catalogs","","","","(VATOnRelease) List form opening ""SetsOfAccessGroups""",""
"passed","Wed Jul 17 04:14:27 UTC 2024","Wed Jul 17 04:14:29 UTC 2024","1634","","Y_002 Department functional option check","","","","(VATOnRelease) Bank Receipt True",""
"failed","Wed Jul 17 02:16:31 UTC 2024","Wed Jul 17 02:16:45 UTC 2024","14033","","003_1 Classifiers import","","","","(VATOnRelease) UoM classifier import",""
"passed","Wed Jul 17 02:14:25 UTC 2024","Wed Jul 17 02:14:26 UTC 2024","1158","","002 Smoke tests documents","","","","(VATOnRelease) List form opening ""PurchaseInvoice""",""
"passed","Wed Jul 17 02:08:46 UTC 2024","Wed Jul 17 02:08:47 UTC 2024","1021","","001 Smoke Tests Catalogs","","","","(VATOnRelease) List form opening ""QuestionnaireTemplateQuestions""",""
"passed","Wed Jul 17 02:17:31 UTC 2024","Wed Jul 17 02:17:32 UTC 2024","1314","","011 Filling in the Currencies catalog","","","","(VATOnRelease) Filling in the ""Currencies"" catalog",""
"passed","Wed Jul 17 02:32:14 UTC 2024","Wed Jul 17 02:32:15 UTC 2024","817","","160 Assembly build and Specification creation","","","","(VATOnRelease) Data preparation Good quantitative assembled",""
"passed","Wed Jul 17 04:14:20 UTC 2024","Wed Jul 17 04:14:22 UTC 2024","1619","","Y_002 Department functional option check","","","","(VATOnRelease) Inventory Write Off True",""
"passed","Wed Jul 17 02:17:09 UTC 2024","Wed Jul 17 02:17:10 UTC 2024","817","","003_FirstLaunchCatalogsFilling","","","","(VATOnRelease) Accounting policy filling",""
"passed","Wed Jul 17 03:23:15 UTC 2024","Wed Jul 17 03:23:19 UTC 2024","3282","","Settlements Adjustment check list Document","","","","(VATOnRelease) Notice of entry",""
"passed","Wed Jul 17 03:59:16 UTC 2024","Wed Jul 17 03:59:18 UTC 2024","1806","","Cash change CashFlowActivity avai. not availab. columns","","","","(VATOnRelease) CR Incasari viramente interne",""
"failed","Wed Jul 17 03:13:15 UTC 2024","Wed Jul 17 03:13:22 UTC 2024","7368","","Documents generate on","","","","(VATOnRelease) P i generate InventoryWriteOff",""
"passed","Wed Jul 17 02:27:48 UTC 2024","Wed Jul 17 02:27:55 UTC 2024","6493","","100 Fixed and intangible assets","","","","(VATOnRelease) Bank advance payment to the supplier",""
"passed","Wed Jul 17 03:01:57 UTC 2024","Wed Jul 17 03:02:03 UTC 2024","6508","","Documents generate on","","","","(VATOnRelease) list/Document PO generate Bank Payment",""
"failed","Wed Jul 17 03:13:26 UTC 2024","Wed Jul 17 03:13:34 UTC 2024","7822","","Documents generate on","","","","(VATOnRelease) P i generate InventoryReconciliationFact",""
"passed","Wed Jul 17 03:57:32 UTC 2024","Wed Jul 17 03:57:35 UTC 2024","3066","","BankReceipt change cash flow activity","","","","(VATOnRelease) BR> Incasari de la clienti din livrari",""
"passed","Wed Jul 17 03:32:24 UTC 2024","Wed Jul 17 03:32:27 UTC 2024","3050","","E-Transport filling check","","","","(VATOnRelease) Fill Depozit address",""
"passed","Wed Jul 17 02:40:24 UTC 2024","Wed Jul 17 02:40:25 UTC 2024","957","","Main menu > click open","","","","(VATOnRelease) Enterprises",""
"passed","Wed Jul 17 03:18:59 UTC 2024","Wed Jul 17 03:19:03 UTC 2024","3894","","Accounting reports detailing check","","","","(VATOnRelease) Account datails book",""
"passed","Wed Jul 17 02:14:16 UTC 2024","Wed Jul 17 02:14:17 UTC 2024","1485","","002 Smoke tests documents","","","","(VATOnRelease) List form opening ""ChangeFixedAssetsParameters""",""
"passed","Wed Jul 17 02:11:10 UTC 2024","Wed Jul 17 02:11:11 UTC 2024","1064","","001 Smoke Tests Catalogs","","","","(VATOnRelease) List form opening ""AccountingSettingsKinds""",""
"passed","Wed Jul 17 04:14:45 UTC 2024","Wed Jul 17 04:14:46 UTC 2024","1021","","Y_002 Department functional option check","","","","(VATOnRelease) Report AnalysisByDimension True",""
"passed","Wed Jul 17 02:38:22 UTC 2024","Wed Jul 17 02:38:31 UTC 2024","9152","","Check must be filled:Description/SKU/Code of customs/Unit/Income and expense","","","","(VATOnRelease) Products Tangible assets",""
"failed","Wed Jul 17 02:54:53 UTC 2024","Wed Jul 17 02:55:05 UTC 2024","12257","","Check currency conversion for EU resident","","","","(VATOnRelease) Exit Notice EUR",""
"passed","Wed Jul 17 03:01:18 UTC 2024","Wed Jul 17 03:01:26 UTC 2024","8323","","Documents generate on","","","","(VATOnRelease) Purchase Order  generate document",""
"passed","Wed Jul 17 03:53:54 UTC 2024","Wed Jul 17 03:54:45 UTC 2024","50834","","BD available not available columns","","","","(VATOnRelease) BR Incasari din difrente de curs pozitive",""
"passed","Wed Jul 17 03:19:19 UTC 2024","Wed Jul 17 03:19:21 UTC 2024","2221","","Accounting reports detailing check","","","","(VATOnRelease) Trial Balance by account",""
"passed","Wed Jul 17 03:22:40 UTC 2024","Wed Jul 17 03:22:47 UTC 2024","7512","","Set Advanced income Write off Parameters","","","","(VATOnRelease) Check Advanced income write off first month",""
"passed","Wed Jul 17 04:02:56 UTC 2024","Wed Jul 17 04:03:03 UTC 2024","6910","","Document mark/unmark for deletion","","","","(VATOnRelease) Notice Of Entry",""
"passed","Wed Jul 17 02:08:16 UTC 2024","Wed Jul 17 02:08:17 UTC 2024","1048","","001 Smoke Tests Catalogs","","","","(VATOnRelease) List form opening ""EmailAccounts""",""
"passed","Wed Jul 17 04:13:49 UTC 2024","Wed Jul 17 04:13:51 UTC 2024","2238","","Y_002 Department functional option check","","","","(VATOnRelease) Sales Order True",""
"passed","Wed Jul 17 03:18:52 UTC 2024","Wed Jul 17 03:18:53 UTC 2024","1363","","Purchase invoice for different goods kind","","","","(VATOnRelease) PI for materials",""
"passed","Wed Jul 17 02:15:15 UTC 2024","Wed Jul 17 02:15:16 UTC 2024","1017","","002 Smoke tests documents","","","","(VATOnRelease) List form opening ""IntangibleAssetsWriteOff""",""
"passed","Wed Jul 17 02:44:39 UTC 2024","Wed Jul 17 02:44:41 UTC 2024","1822","","Docs create SAve OPen Close","","","","(VATOnRelease) Cash Receipt",""
"passed","Wed Jul 17 04:12:45 UTC 2024","Wed Jul 17 04:12:48 UTC 2024","3045","","Y_002 Department functional option check","","","","(VATOnRelease) Inventory Increase False",""
"passed","Wed Jul 17 03:58:03 UTC 2024","Wed Jul 17 03:58:07 UTC 2024","4146","","Cash / Bank Documents added Base Document","","","","(VATOnRelease) Sales Invoice",""
"passed","Wed Jul 17 02:41:38 UTC 2024","Wed Jul 17 02:41:43 UTC 2024","4977","","Check work Customs Declaration","","","","(VATOnRelease) Create Cash flow 448.21",""
"passed","Wed Jul 17 02:10:20 UTC 2024","Wed Jul 17 02:10:21 UTC 2024","1032","","001 Smoke Tests Catalogs","","","","(VATOnRelease) Object form opening ""Individuals""",""
"passed","Wed Jul 17 03:55:33 UTC 2024","Wed Jul 17 03:55:35 UTC 2024","2628","","Work Document Bank Payment > changes Cash flow activities","","","","(VATOnRelease) AdvancedInvoiceReceived",""
"passed","Wed Jul 17 02:14:56 UTC 2024","Wed Jul 17 02:14:57 UTC 2024","1218","","002 Smoke tests documents","","","","(VATOnRelease) Object form opening ""Assembly""",""
"passed","Wed Jul 17 03:36:25 UTC 2024","Wed Jul 17 03:37:10 UTC 2024","45090","","VAT rates selection check","","","","(VATOnRelease) EU member NoticeOfEntry",""
"passed","Wed Jul 17 03:14:59 UTC 2024","Wed Jul 17 03:15:00 UTC 2024","880","","Purchase Invoices generate documents","","","","(VATOnRelease) Purchase Invoices generate CIAP",""
"passed","Wed Jul 17 04:14:32 UTC 2024","Wed Jul 17 04:14:33 UTC 2024","1427","","Y_002 Department functional option check","","","","(VATOnRelease) Payment Request Outgoing True",""
"passed","Wed Jul 17 02:39:55 UTC 2024","Wed Jul 17 02:39:57 UTC 2024","1319","","Main menu > click open","","","","(VATOnRelease) Trial Balance by account",""
"passed","Wed Jul 17 02:18:46 UTC 2024","Wed Jul 17 02:18:50 UTC 2024","3822","","015 Accounting items creating","","","","(VATOnRelease) Create a material",""
"passed","Wed Jul 17 03:14:56 UTC 2024","Wed Jul 17 03:14:57 UTC 2024","1083","","Purchase Invoices generate documents","","","","(VATOnRelease) Purchase Invoices generate Cash Payment",""
"passed","Wed Jul 17 02:22:06 UTC 2024","Wed Jul 17 02:22:12 UTC 2024","5699","","070 Expense report","","","","(VATOnRelease) Notice of entry",""
"passed","Wed Jul 17 03:12:55 UTC 2024","Wed Jul 17 03:12:58 UTC 2024","3140","","Documents generate on","","","","(VATOnRelease) InventoryInCommissioningTransfer button generate document",""
"passed","Wed Jul 17 03:41:11 UTC 2024","Wed Jul 17 03:42:02 UTC 2024","50981","","BD available not available columns","","","","(VATOnRelease) BP Plati la furnizori de stocuri",""
"passed","Wed Jul 17 02:44:10 UTC 2024","Wed Jul 17 02:44:12 UTC 2024","1627","","Docs create SAve OPen Close","","","","(VATOnRelease) Advance Report",""
"passed","Wed Jul 17 04:00:37 UTC 2024","Wed Jul 17 04:00:40 UTC 2024","3457","","Documents Bank> Button Add","","","","(VATOnRelease) Purchase Invoice",""
"passed","Wed Jul 17 02:10:35 UTC 2024","Wed Jul 17 02:10:36 UTC 2024","1173","","001 Smoke Tests Catalogs","","","","(VATOnRelease) Object form opening ""BankAccountsOfEnterprises""",""
"passed","Wed Jul 17 03:06:50 UTC 2024","Wed Jul 17 03:06:52 UTC 2024","2612","","Documents generate on","","","","(VATOnRelease) list SI generate SalesReturn",""
"passed","Wed Jul 17 04:14:43 UTC 2024","Wed Jul 17 04:14:44 UTC 2024","1020","","Y_002 Department functional option check","","","","(VATOnRelease) Report AccountAnalyze True",""
"failed","Wed Jul 17 02:43:25 UTC 2024","Wed Jul 17 02:43:33 UTC 2024","7373","","Counterparties catalog","","","","(VATOnRelease) Transactions table",""
"failed","Wed Jul 17 02:20:41 UTC 2024","Wed Jul 17 02:21:00 UTC 2024","18976","","040 Bank receipt document create","","","","(VATOnRelease) Bank receipt Incasare de la Client in EUR",""
"passed","Wed Jul 17 02:08:50 UTC 2024","Wed Jul 17 02:08:51 UTC 2024","1087","","001 Smoke Tests Catalogs","","","","(VATOnRelease) Object form opening ""QuestionnaireTemplates""",""
"passed","Wed Jul 17 02:44:43 UTC 2024","Wed Jul 17 02:44:45 UTC 2024","1619","","Docs create SAve OPen Close","","","","(VATOnRelease) Bank Receipt",""
"passed","Wed Jul 17 02:39:17 UTC 2024","Wed Jul 17 02:39:18 UTC 2024","1033","","Main menu > click open","","","","(VATOnRelease) Purchase Invoices",""
"failed","Wed Jul 17 03:07:36 UTC 2024","Wed Jul 17 03:07:43 UTC 2024","6309","","Documents generate on","","","","(VATOnRelease) AdditionalExpenses generate CashPayment",""
"passed","Wed Jul 17 02:39:27 UTC 2024","Wed Jul 17 02:39:28 UTC 2024","1020","","Main menu > click open","","","","(VATOnRelease) Advanced invoices issued",""
"failed","Wed Jul 17 03:08:58 UTC 2024","Wed Jul 17 03:09:06 UTC 2024","7682","","Documents generate on","","","","(VATOnRelease) SalesOrder button generate AdvancedInvoiceIssued",""
"passed","Wed Jul 17 02:41:35 UTC 2024","Wed Jul 17 02:41:38 UTC 2024","2779","","Check work Customs Declaration","","","","(VATOnRelease) Catalog Currencies",""
"passed","Wed Jul 17 02:09:03 UTC 2024","Wed Jul 17 02:09:04 UTC 2024","1048","","001 Smoke Tests Catalogs","","","","(VATOnRelease) List form opening ""UserGroups""",""
"passed","Wed Jul 17 04:02:09 UTC 2024","Wed Jul 17 04:02:16 UTC 2024","6899","","Document mark/unmark for deletion","","","","(VATOnRelease) Sales Return",""
"failed","Wed Jul 17 03:09:46 UTC 2024","Wed Jul 17 03:09:54 UTC 2024","7704","","Documents generate on","","","","(VATOnRelease) list SalesOrder button generate Exit note",""
"passed","Wed Jul 17 02:54:14 UTC 2024","Wed Jul 17 02:54:17 UTC 2024","2763","","Check currency conversion for EU resident","","","","(VATOnRelease) Advanced invoice received EUR",""
"passed","Wed Jul 17 03:53:03 UTC 2024","Wed Jul 17 03:53:54 UTC 2024","51231","","BD available not available columns","","","","(VATOnRelease) BR Incasari viramente interne",""
