
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.38.236:53633   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53634   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53635   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53636   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53637   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53638   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53639   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53640   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53641   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53642   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53643   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53644   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53645   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53646   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53647   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53648   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53649   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53650   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53653   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53654   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53655   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53656   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53657   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53658   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53659   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53660   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53661   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53662   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53663   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53664   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53665   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53666   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53667   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53668   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53669   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53670   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53673   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53676   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53677   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53678   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53679   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53680   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53681   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53682   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53683   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53684   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53685   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53686   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53687   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53688   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53689   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53690   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53691   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53692   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53693   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53694   192.168.38.252:135     TIME_WAIT       0
  TCP    192.168.38.236:53695   192.168.38.252:49152   ESTABLISHED     852
  TCP    192.168.38.236:53696   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53697   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53698   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:54360   192.168.38.102:1550    ESTABLISHED     10652
  TCP    192.168.38.236:54958   192.168.38.102:1560    CLOSE_WAIT      14320
  TCP    192.168.38.236:55681   192.168.38.102:1560    ESTABLISHED     21980
  TCP    192.168.38.236:55684   192.168.38.102:1560    ESTABLISHED     14320
  TCP    192.168.38.236:56899   192.168.38.102:1560    CLOSE_WAIT      10652
  TCP    192.168.38.236:59043   192.168.38.102:1550    ESTABLISHED     10652
  TCP    192.168.38.236:59045   192.168.38.102:1550    ESTABLISHED     10652
  TCP    192.168.38.236:65301   64.233.162.188:5228    ESTABLISHED     18260
  TCP    192.168.38.236:65349   20.232.77.7:443        ESTABLISHED     4028
  TCP    192.168.38.236:65475   20.232.77.7:443        ESTABLISHED     4028
  TCP    [::1]:48001            [::1]:65528            ESTABLISHED     23556
  TCP    [::1]:65528            [::1]:48001            ESTABLISHED     2028
